Institute,Institute standardized,Country,Source,Category MR,Category QH,Group,url,
Global Fishing Watch,Global Fishing Watch,Global,MarineRegions_users,Value added products,,,http://globalfishingwatch.org/map,
Donut holes in international waters,Donut holes in international waters,Global,MarineRegions_users,Value added products,,,http://donutholes.ch,
Ocean Health Index,Ocean Health Index,Global,MarineRegions_users,Value added products,,,http://www.oceanhealthindex.org/,
National Centers for Environmental Information < NOAA,NOAA National Oceanic And Atmospheric Administration,USA,MarineRegions_users,Value added products,,,http://maps.ngdc.noaa.gov/viewers/geophysics/,
National Centers for Environmental Information < NOAA,NOAA National Oceanic And Atmospheric Administration,USA,MarineRegions_users,Value added products,,,http://maps.ngdc.noaa.gov/viewers/hazards/?layers=0,
National Centers for Environmental Information < NOAA,NOAA National Oceanic And Atmospheric Administration,USA,MarineRegions_users,Value added products,,,http://maps.ngdc.noaa.gov/viewers/marine_geology/,
National Centers for Environmental Information < NOAA,NOAA National Oceanic And Atmospheric Administration,USA,MarineRegions_users,Value added products,,,http://www.ngdc.noaa.gov/dem/squareCellGrid/map?theme=DDP,
Food and Agriculture Organization of the United Nations (FAO),FAO (Food and Agriculture Organization of the United Nations),Global,MarineRegions_users,Value added products,,,http://www.fao.org/fishery/geoinfo/en,
Rolling Deck to Repository (R2R),Rolling Deck to Repository (R2R),Global,MarineRegions_users,Value added products,,,http://www.rvdata.us/,
Harpoon 3 Professional (H3MilSim),Harpoon 3 Professional (H3MilSim),USA,MarineRegions_users,Value added products,,,http://www.computerharpoon.com/,
FleetMon,FleetMon,Global,MarineRegions_users,Value added products,,,http://www.fleetmon.com/live_tracking/info,
Australiane Government - Bureau of Meteorology,Australian Government - Bureau of Meteorology,Australia,MarineRegions_users,Value added products,,,http://www.bom.gov.au/australia/,
European Atlas of the Seas,EU - European Commission - European Atlas of the Seas,Europe,MarineRegions_users,Value added products,,,http://ec.europa.eu/maritimeaffairs/atlas/maritime_atlas/,
?,,,,Value added products,,,http://map.projectpisces.eu/,
InterRdge Vents Database,InterRdge Vents Database,Global,MarineRegions_users,Value added products,,,http://www.interridge.org/irvents/maps/,
Sea Around US,Sea Around US,Canada,MarineRegions_users,Value added products,,,http://www.seaaroundus.org/data/#/eez,
?,,,,Value added products,,,http://td-architects.eu/?id=132,
Ocean Biogeographic Information System (OBIS),OBIS Ocean Biogeographic Information System,Global,MarineRegions_users,Value added products,,,http://iobis.org/mapper/,
?,,,,Value added products,,,http://scene.bsnn.org/eez.html,
World Register of Marine Species (WoRMS),WoRMS World Register of Marine Species,Global,MarineRegions_users,Value added products,,,http://www.marinespecies.org,
?,,,,Value added products,,,http://geonode.twap.iwlearn.org/data/geonode:World_Maritime_Boundaries_v6_1_20110512,
Seamounts online,Seamounts online,Global,MarineRegions_users,Value added products,,,http://seamounts.sdsc.edu/,
?,,,,Value added products,,,http://omap.africanmarineatlas.org/HUMAN/pages/Geopolitical.htm,
Geology Without Limits,Geology Without Limits Group,Global,MarineRegions_users,Value added products,,,http://www.geologywithoutlimits.com,
Australian Government - Bureau of Meteorology,Australian Government - Bureau of Meteorology,Australia,MarineRegions_users,Value added products,,,http://www.bom.gov.au/climate,
?,,,,Value added products,,,http://migramar.org/interactive_map.html,
MESP,Michigan Education Savings Program (MESP),USA,MarineRegions_users,Value added products,,,http://marineecosystemservices.org/explore-ecosystem-services,
4C Offshore Ltd.,4C Offshore Ltd.,UK,MarineRegions_users,Value added products,,,http://www.4coffshore.com/offshorewind/,
Natural Earth,Natural Earth,Global,MarineRegions_users,Value added products,,,http://www.naturalearthdata.com,
GOV.UK,UK government,UK,MarineRegions_users,Value added products,,,http://planningportal.marinemanagement.org.uk/,
?,,,,Value added products,,,http://www.marinedataliteracy.org/,
European Union - Joint Research Centre,EU - European Commission - Joint Research Centre,Europe,MarineRegions_users,Value added products,,,http://dopa-services.jrc.ec.europa.eu/services/especies/get_country_species_count,
personal github repository,personal ,,,Value added products,,,https://github.com/ldbk/EMISR,
The BOBLME MPA Atlas,The BOBLME MPA Atlas,Global,MarineRegions_users,Value added products,,,http://boblme.reefbase.org/map/,
GEO BON,GEO BON (Group on Earth Observations Biodiversity Observation Network),Germany,MarineRegions_users,Value added products,,,http://geobon.org/working-groups/working-group-5-marine-ecosystem-change/,
Open Street Map Foundation,,UK,MarineRegions_users,Value added products,NGO,,https://openinframap.org/stats,
ILVO,,Belgium,MarineRegions_users,Value added products,,,https://geofish.be/ ,
International Atomic Energy Agency (IAEA),,Austria,MarineRegions_users,Value added products,,,https://maris.iaea.org/explore ,
S&P Global Inc.,,USA,MarineRegions_users,Value added products,,,https://www.spglobal.com/platts/en/insight/energy-transition-atlas ,
International Council on Clean Transportation,,Global,MarineRegions_users,Value added products,,,https://theicct.org/publications/global-scrubber-discharges-Apr2021 ,
Oceana,,Global,MarineRegions_users,Value added products,,,https://usa.oceana.org/IUUVesselTracker ,
Akvaplan-niva,Akvaplan Niva,Norway,MarineRegions_users,Scientific users,Science,,,
Australian Antarctic Division,Australian Government - Department of the Environment and Energy - Australian Antarctic Division (AAD),Australia,MarineRegions_users,Scientific users,Science,,,
Australian National University,,Australia,MarineRegions_users,Scientific users,Science,,,
Aarhus University,Aarhus University,Denmark,MarineRegions_users,Scientific users,Science,,,
AWI,Alfred Wegener Institute for Polar and Marine Research (AWI),Germany,MarineRegions_users,Scientific users,Science,,,
Bangor University,Bangor University,UK,MarineRegions_users,Scientific users,Science,,,
Cardiff University,Cardiff University,UK,MarineRegions_users,Scientific users,Science,,,
CEFAS,"CEFAS (Centre for Environment, Fisheries and Aquaculture Science)",UK,MarineRegions_users,Scientific users,Science,,,
CRIMARIO2,,Europe,MarineRegions_users,Scientific users,Science,,,
CSIRO,CSIRO (Commonwealth Scientific and Industrial Research Organisation),Australia,MarineRegions_users,Scientific users,Science,,,
CNRS,CNRS,France,MarineRegions_users,Scientific users,Science,,,
Columbia University,Columbia University,USA,MarineRegions_users,Scientific users,Science,,,
Dalhousie University,Dalhousie University,Canada,MarineRegions_users,Scientific users,Science,,,
DHI,DHI Group,Global,MarineRegions_users,Scientific users,Science,,,
Duke University,Duke University,USA,MarineRegions_users,Scientific users,Science,,,
EarthScope-Oceans,,Global,MarineRegions_users,Scientific users,Science,,,
Free University of Brussels,Free University of Brussels (VUB),Belgium,MarineRegions_users,Scientific users,Science,,,
Fort Lewis College,Fort Lewis College,USA,MarineRegions_users,Scientific users,Science,,,
Ghent University,Ghent University,Belgium,MarineRegions_users,Scientific users,Science,,,
Global Biodiversity Information Facility,,Global,MarineRegions_users,Scientific users,Science,,,
Heidelberg University,Heidelberg University,Germany,MarineRegions_users,Scientific users,Science,,,
Hokkaido University,Hokkaido University,Japan,MarineRegions_users,Scientific users,Science,,,
IFREMER,IFREMER - DYNECO (Unité Dynamiques des Ecosystèmes Côtiers),France,MarineRegions_users,Scientific users,Science,,,
IMARES,IMARES (Institute for Marine Resources and Ecosystem Studies),Netherlands,MarineRegions_users,Scientific users,Science,,,
Indian National Centre for Ocean Information Services,India government - Indian National Center for Ocean Information Services (INCOIS) ,India,MarineRegions_users,Scientific users,Science,,,
Institute of Marine Research - Havforskningsinstituttet,Institute of Marine Research - Havforskningsinstituttet,Norway,MarineRegions_users,Scientific users,Science,,,
Irish Marine Institute,Marine Institute,Ireland,MarineRegions_users,Scientific users,Science,,,
James Cook University,James Cook University,Australia,MarineRegions_users,Scientific users,Science,,,
Kenya Marine and Fisheries Research Institute,Kenya Marine and Fisheries Research Institute (KMFRI),Kenya,MarineRegions_users,Scientific users,Science,,,
Leibniz Institute of Marine Sciences,GEOMAR Helmholtz Centre for Ocean Research Kiel,Germany,MarineRegions_users,Scientific users,Science,,,
Marine and Environmental Sciences Centre,,Portugal,MarineRegions_users,Scientific users,Science,,,
NIOZ,NIOZ Royal Netherlands Institute for Sea Research,Netherlands,MarineRegions_users,Scientific users,Science,,,
Pacific Community,,Global,MarineRegions_users,Scientific users,Science,,,
Plymouth Marine Laboratory,PML (Plymouth Marine Laboratory),UK,MarineRegions_users,Scientific users,Science,,,
Project Drawdown,,USA,MarineRegions_users,Scientific users,Science,,,
Royal United Services Institute for Defence and Security Studies,,UK,MarineRegions_users,Scientific users,Science,,,
Scripps Institution of Oceanography,"University of California, San Diego (UCSD) - Scripps Institution of Oceanography",USA,MarineRegions_users,Scientific users,Science,,,
Universidad Nacional Autónoma de México,National Autonomous University of Mexico (UNAM),Mexico,MarineRegions_users,Scientific users,Science,,,
University of Delaware,University of Delaware,USA,MarineRegions_users,Scientific users,Science,,,
University of Hawaii,University of Hawaii,USA,MarineRegions_users,Scientific users,Science,,,
"University of Tasmania, Australia",University of Tasmania,Australia,MarineRegions_users,Scientific users,Science,,,
University of the West Indies,University of the West Indies,Jamaica,MarineRegions_users,Scientific users,Science,,,
University of Washington,University of Washington,USA,MarineRegions_users,Scientific users,Science,,,
U.S. Geological Survey,US Geological Survey (USGS),USA,MarineRegions_users,Scientific users,Science,,,
Woods Hole Oceanographic Institution,Woods Hole Oceanographic Institution (WHOI),USA,MarineRegions_users,Scientific users,Science,,,
Agence des aires marines protégées,L’Agence des aires marines protégées,France,MarineRegions_users,Governmental users,Policy,,,
Armada Española,Spanish navy,Spain,MarineRegions_users,Governmental users,Policy,,,
British Antarctic Survey,,UK,MarineRegions_users,Governmental users,Policy,,,
Canadian Coast Guard,Canadian Coast Guard,Canada,MarineRegions_users,Governmental users,Policy,,,
Danish Defence Intelligence Service,,Denmark,MarineRegions_users,Governmental users,Policy,,,
"Department of Agriculture, Forestry and Fisheries South Africa",,South Africa,MarineRegions_users,Governmental users,Policy,,,
European Maritime Safety Agency,,Europe,MarineRegions_users,Governmental users,Policy,,,
Eurostat-GISCO,EU - European Commission - GISCO (Geographic Information System of the Commission),Europe,MarineRegions_users,Governmental users,Policy,,,
US Fleet Forces Command,US Fleet Forces Command,USA,MarineRegions_users,Governmental users,Policy,,,
Fisheries and Oceans Canada,Government of Canada - Fisheries and Oceans Canada,Canada,MarineRegions_users,Governmental users,Policy,,,
US Environmental Protection Agency,US Environmental Protection Agency (US EPA),USA,MarineRegions_users,Governmental users,Policy,,,
European Environmental Agency,EU - European Environmental Agency,Europe,MarineRegions_users,Governmental users,Policy,,,
FAO Fisheries and aquaculture department,FAO (Food and Agriculture Organization of the United Nations) - Fisheries and aquaculture department,Global,MarineRegions_users,Governmental users,Policy,,,
Geoscience Australia,Australian government - Geoscience Australia,Australia,MarineRegions_users,Governmental users,Policy,,,
Italian Navy Hydrographic Institute,,Italy,MarineRegions_users,Governmental users,Policy,,,
UNEP/GRID-Arendal,UNEP (UN Environment Programme) - GRID-Arendal,Global,MarineRegions_users,Governmental users,Policy,,,
International Astronautical Federation,International Astronautical Federation,Global,MarineRegions_users,Governmental users,Policy,,,
Korean Fisheries Monitoring Center,,South Korea,MarineRegions_users,Governmental users,Policy,,,
Ministry of Foreign Affairs - Hellinic Republic,Greece government - Hellinic Ministry of Foreign Affairs,Greece,MarineRegions_users,Governmental users,Policy,,,
National Oceanic and Atmospheric Administration,NOAA National Oceanic And Atmospheric Administration,USA,MarineRegions_users,Governmental users,Policy,,,
National Renewable Energy Laboratory,National Renewable Energy Laboratory,USA,MarineRegions_users,Governmental users,Policy,,,
Pacific Islands Forum Fisheries Agency,,Global,MarineRegions_users,Governmental users,Policy,,,
Space and Naval Warfare Systems Command,Space and Naval Warfare Systems Command,USA,MarineRegions_users,Governmental users,Policy,,,
Swedish Agency for Marine and Water Management,Swedish Agency for Marine and Water Management,Sweden,MarineRegions_users,Governmental users,Policy,,,
UK Space Agency,,UK,MarineRegions_users,Governmental users,Policy,,,
UNEP-WCMC,UNEP-WCMC (UN Environment Programme World Conservation Monitoring Centre),Global,MarineRegions_users,Governmental users,Policy,,,
US Coast Guard,US Coast Guard,USA,MarineRegions_users,Governmental users,Policy,,,
US Department of Veterans Affairs,,USA,MarineRegions_users,Governmental users,Policy,,,
US Fleet Forces Command,,USA,MarineRegions_users,Governmental users,Policy,,,
International Seabed Authority,ISA International Seabed Authority,Global,MarineRegions_users,Governmental users,Policy,,,
4C Offshore Ltd.,4C Offshore Ltd.,UK,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.4coffshore.com,
Aereon Marine,Aereon Marine Inc.,USA,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.aereonmarine.com,
Albacora Group,Albacora Group,Spain,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.albacoragroup.com,
Airborne Petroleum Geophysics,Airborne Petroleum Geophysics,Global,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.apgeophysics.com,
Arcadis,Arcadis,Netherlands,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.arcadisbelgium.be,
BP,BP,Global,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.bp.com,
Applied Science Associates,Applied Science Associates,USA,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.asascience.com,
Bakri Navigation Company Limited,Bakri Navigation Company Limited,Saudi Arabia,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.bakrinavigation.com,
BarrowsCo,BarrowsCo,USA,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.barrowscompany.com,
Belgian Offshore Platform,,Belgium,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,https://www.belgianoffshoreplatform.be/,
BHP,BHP,Global,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.bhpbilliton.com,
CGG,,,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.cggveritas.com,
CLS,,France,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,https://www.cls.fr/,
Control Risks,Control Risks,Global,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.control-risks.com,
Ørsted,Ørsted,Denmark,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.dongenergy.com,
EarthX,EarthX,Global,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://earthx.com,
ESRI,ESRI,USA,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.esri.com,
ExxonMobil,ExxonMobil,USA,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.exxonmobil.com,
FM Global,FM Global,Global,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.fmglobal.com,
IHS Markit,,Global,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,https://ihsmarkit.com/,
Jan De Nul,,Global,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,https://www.jandenul.com/,
Lighthouse,,Global,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,https://www.lighthouse-geo.com/,
MAAS,,Netherlands,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,https://maas-se.nl,
Wood,Wood Group,Global,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.jpkenny.com,
Verisk Maplecroft,Verisk Maplecroft,Global,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.maplecroft.com,
MDA,,,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.mdacorporation.com,
Seas of Solutions,,Europe,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,https://www.seasofsolutions.com/,
Nautoshark,,UK,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.nautoshark.com/,
NKT,,Global,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,https://www.nkt.com/,
OMV Group,,Global,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,https://www.omv.com/en,
Oralia Maritime,,,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.mcmurdogroup.com,
Ophir,,,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.ophir-energy.com,
PacNet,PacNet,Global,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.pacnet.com,
Pelagian,,,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.pelagian.co.uk,
PWC,,Global,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,https://www.pwc.com/,
Primeval Treks,,,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.primevaltreks.com,
Ramboll,Ramboll,Denmark,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.ramboll.com,
SAIC,SAIC Motor,China,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.saic.com,
ScanReach,,Norway,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,https://www.scanreach.com/,
Shell,Shell,Global,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.shell.com,
Telstra,,Australia,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,https://www.telstra.com.au,
SAGA,,UK,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,https://travel.saga.co.uk/cruises/,
Vickers Nolan Enterprises,,USA,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,https://www.vneonline.com/,
Voyager,,Global,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,https://voyagerww.com/,
Equinor,Equinor,Global,MarineRegions_users,"Private users (marine consultant, offshore activities, maritime surveillance, fisheries)",Industry?,,http://www.statoil.com,
American Bird Conservancy,American Bird Conservancy,USA,MarineRegions_users,NGO's,Citizen science?,,http://www.abcbirds.org/,
BirdLife International,BirdLife International,Global,MarineRegions_users,NGO's,Citizen science?,,http://www.birdlife.org/,
Conservation International,Conservation International,Global,MarineRegions_users,NGO's,Citizen science?,,http://www.conservation.org/,
Greenpeace,Greenpeace,Global,MarineRegions_users,NGO's,Citizen science?,,http://www.greenpeace.org/,
International Fund for Animal Welfare,IFAW International Fund for Animal Welfare,Global,MarineRegions_users,NGO's,Citizen science?,,http://www.ifaw.org,
International Union for Conservation of Nature (IUCN),IUCN International Union for Conservation of Nature,Global,MarineRegions_users,NGO's,Citizen science?,,http://www.iucn.org/,
The Nature Conservancy,The Nature Conservancy,USA,MarineRegions_users,NGO's,Citizen science?,,http://www.nature.org/,
Oceana,,Global,MarineRegions_users,NGO's,Citizen science?,,https://oceana.org/,
WorldFish,WorldFish,Global,MarineRegions_users,NGO's,Citizen science?,,http://www.worldfishcenter.org/,
WWF,WWF,Global,MarineRegions_users,NGO's,Citizen science?,,http://www.wwf.org/,
Bloomberg,,Global,MarineRegions_users,Press,Industry?,,,
Reuters,,Global,MarineRegions_users,Press,Industry?,,,
The New York Times,,USA,MarineRegions_users,Press,Industry?,,,
